424319161,1,3 days till the best weekend of my lifeeeeee 👭🎉💃🏾⛺️🎪 @vfestival
1590407312,0,Someone take me to @vfestival please? 😭
421240759,1,5 days to go 🎉🎉🎉#VFestival
428379530,0,Typical that the three days it's raining is for @vfestival 😩 https://t.co/s7lH9RX1dA
265973270,1,Girls check out my festival looks for V festival #curvyfashion #vfest new in… https://t.co/0TE5PUS9DS
1460658684,1,Can I just see Bieber already 🙌🏻 #Vfestival
2883025096,0,#VFestival #Chelmsford. Trains from Ipswich and Norwich may be busier during the event.... https://t.co/fewmppMkb7
2705977470,0,TRAFFIC UPDATE: Traffic heading for @VFestival is heavy but NO SIGNIFICANT DELAYS - #FollowTheSigns https://t.co/smDWaiLlSb
388820137,0,Will you be attending #VFestival at the weekend? Be sure to keep your memories safe with #BoxStorage! https://t.co/G7ui69QgM6
2308221761,1,"Anyone wants to find us at vfest, look for the flag https://t.co/qc9tHqyeSZ"
546717795,0,#vfest essentials 90% alcohol 10% food #priorities #festival #rain #muddy https://t.co/B3qNYebDJI
418556493,0,Wish I was going @vfestival 😢
894157681,1,apparently joeys coming to vfest with me https://t.co/yXaIhClyA8
4576178495,0,@boltonyears hope weather is ok at @vfestival !!! I got everything crossed for ya hun! Come back ☀️ please xx
2950753353,1,@vfestival looking forward to this weekend first ever festival aswell
186015082,1,Buzzing for @vfestival this weekend with my girls @KkSchofield @Kirstie_Derham @Laura_Bryony28 👯👯
1294493814,1,Vfest we're coming for you 👯😜🍻 @vfestival @bstimmo08 @mollyinns_ #VFestival
418172525,0,Last few days to get your @vfestival tickets at LESS THAN FACE VALUE! https://t.co/KnY8iqbDSZ https://t.co/XE4ydQGpPY
20189249,1,Almost obsessively checking the weather forecast for @vfestival on Saturday. Not looking so good at the moment :(
275190825,0,@vfestival what time can campers on Friday arrive travelling by car? Is the carpark opening at 10 only for day ticket drivers?
291201414,1,So many things to look forward to this week😅 #London #theatre #vfest2016
1622453923,0,It's @vfestival in #Chelmsford this wknd. Look out for our #FestivalPrepared tips to help you stay safe. https://t.co/bXjiLFbcGr
398937733,0,Don't have enough outfits for Vfest 😭
1572393505,1,Booking @clubclassevents for @vfestival has just made me even more excited!! 🍹🎉🎪💃🏼🍺
475320569,0,Anyone selling any V festival tickets for Sunday?? #vfestival
845797266,1,@vfestival we are 30 mins away from Hylands and hearing there are no spaces left in red camping!! Is this true?!?!
439921535,1,This weather is getting me far too excited for @vfestival 🙌🏼🙌🏼🙌🏼
468496175,0,"@vfestival sons just his wristband through yesterday, is this his ticket? As friends saying got email to print ticket he didn't"
484947475,1,Not letting the rain ruin the mood😜😜 @vfestival
3088925161,1,Can't wait! 🎪🎤 #VFestival #VFest #V #RedCamp https://t.co/SBSrmkDtjM
51105220,0,"I have 2x VIP tickets to V festival in Chelmsford tomorrow + mini bus there and back. Anyone interested 
#VFestival #vfest #vip #beiber"
47973638,0,"Still mulling over @VFestival? Well worry not, we've made the decision even easier with this ticket giveaway &gt;&gt; https://t.co/TZOIeDhEWc"
407100682,0,"My fave @jess_lelliott has a spare weekend #VFestival ticket, hit her up of you want it!"
27055491,0,this @vfestival app is shit.
418334076,1,It would be funny if me and the boys actually book vfest now
396140234,0,When everyone's got there @vfestival tickets but you and @katietoozex  ://///
487422230,1,"It's @vfestival &amp; we've arrived!! Parking cars, bottle amnesty &amp; our legendary #hair rescue tent for @EndPolioNow https://t.co/tQ2oxmon6U"
97210159,0,Chelmsford - A414 Greenbury Way - Slow moving traffic westbound between Widford roundabout and Margaretting Road. #vfestival
999577292,0,@vfestival what's the traffic problem on M25? Is it going to get worse as we get closer?
113880614,0,The #VFestival is the worst attempt at a music festival in the history of music festivals.
1475370271,1,6 days before #VFestival and I'm full of a cold. It better bloody shift itself soon!
323278597,0,The current weather situation for V Festival weekend 😫⛈ #V21st https://t.co/Fb3YjkXder
1836056689,0,Wish I was going vfest so I could see justin😔
4272411556,1,Buzzing for @vfestival  Friday
458645146,0,Didn't even want to go VFest anyway..
7111412,0,2 PAIRS of tickets for @vfestival left! There are 5 artists in this clip... guess them all + YOU could be a winner! https://t.co/ZtVOlJ7g1L
749220326609870848,1,Can't wait to c what @alexander_olly wears for @vfestival
357292809,0,Actually ain't going at this rate someone did me a ducking camping ticket omg #vfest #vfestival #tickets
3202082945,0,Proper jealous of all these at Vfest
1097872525,0,Latest acts coming to V Festival https://t.co/AfxoplOiO0 @lauramvula @vfestival
146467888,0,#VFestival anyone got a spare Saturday ticket for #HylandsPark
20107329,1,So we made it to @vfestival @ V Fest Weston Park https://t.co/iJK2udV6dv
2941321534,1,As much as I'm buzzing for @vfestival 💃🏽💃🏽 results day on Thursday is getting in the way😣
231600120,0,@sarahwilson0102 are you still looking for vfest tickets
897864758,1,"So excited, can't wait for this weekend! 😁☺️ @vfestival https://t.co/xHqUj8vioP"
2183139202,0,Is it going to rain at #VFestival this weekend? Find out here: https://t.co/eEcdoQOL9C https://t.co/pfl57qzRlh
1222777910,1,Cannot wait to see @LethalBizzle this weekend at Vfest😝
141325392,0,Autocab Taxis Offering #FixedFare Taxi's To @vfestival From Shelton £40 #Taxi £60 #Minibus Call 01782314315 To Book Now @BBCR1 @Weston_Park
73429351,1,I literally cannot wait for this weekend 🎶🍻☔ #vfestival #vfest #ponchooclock
240837732,0,Phones cracked already 🙃 #VFestival
418172525,0,Last few days to get your @vfestival tickets at LESS THAN FACE VALUE! https://t.co/KnY8iqbDSZ https://t.co/XE4ydQGpPY
219026127,0,Hope this rain moves on by tomz #VFestival 🌦🌦🌦
248791942,0,@vfestival the rain has stopped 😍
73435660,0,Can't believe our kids on his way to V fest so jealous have a good time lad❤️ #brother #vfest
765131247660175360,0,@vfestival should probably announce @halsey isn't gonna be performing aka the love of my life 😭
